text,label,source
My way of responding to difficult patients is by far the most ethical because no other way is so ethical and it is the only way that is completely ethical.,0,logical_fallacy
"Colin Closet asserts that if we allow same-sex couples to marry, then the next thing we know we'll be allowing people to marry their parents, their cars and even monkeys.",0,logical_fallacy
"If you choose not to administer triple antibiotic coverage for this patient with severe and extensive burns, you will be held responsible for any infectious complications that might eventually arise.",0,logical_fallacy
"More recently , its actions approached the surreal as the Justice Department opened an antitrust investigation into those auto companies that have agreed in principle to abide by higher gas mileage standards required by California .",1,logical_fallacy
"Dustin: ""Why do you always deflect the argument by insulting me?""
Ann: ""You're ugly and poor!""",1,logical_fallacy
"Lisa was brainwashed as a child into thinking that people are generally good.  Therefore, people are not generally good.",1,logical_fallacy
"Speaker 1: I'll never talk.
Speaker 2: We have ways of making you talk.",0,logical_fallacy
"With their reputations and huge amounts government grant money at stake , it 's unlikely that many climate scientists would ever admit to being wrong .",1,logical_fallacy
"""She's such a mean teacher and person – that's why she wouldn't raise my grade ONE percent!""",1,logical_fallacy
"A father tells his son not to start smoking as he will regret it when he is older, and the son points out that his father is a smoker. This does not alter the fact that his son may regret smoking when he is older.",1,logical_fallacy
"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.

Bob: That may be, but you’re such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64 ounces of soda yesterday.",1,logical_fallacy
"""Officer, I was only driving as fast as everyone around me. I'm sure I wasn't speeding.""",0,logical_fallacy
"The school is in bad shape. Either we tear it down and put up a new building, or we continue to risk students’ safety. Obviously, we shouldn’t risk anyone’s safety, so we must tear the building down.”",0,logical_fallacy
“How can you argue your case for vegetarianism when you are enjoying your steak?”,1,logical_fallacy
This makes you think you need to believe or buy something because everyone else is. Which technique is it?,0,logical_fallacy
"Roughly 100 massive fires are blazing Saturday in the West , including 12 in Idaho and nine in Montana , the National Interagency Fire Center said Saturday . All told , the wildfires have churned through more than 4.5 million acres in 12 states . ( RELATED : Wildfires , Blackouts And High Gas Prices : Californians Fight Familiar Foes Amid Pandemic )",0,logical_fallacy
Confession is good for the soul.,0,logical_fallacy
"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!",0,logical_fallacy
But this is just ugly propaganda .,1,logical_fallacy
"The coldest temperature ever reported was minus 129 degrees Fahrenheit in Vostok , Antarctica , in 1983 when Carbon dioxide emissions were five times higher than in 1913 . The coldest temperature in the lower 48 states ( excluding Alaska ) of minus 64 degrees Fahrenheit was recorded in 1996 in Embarrass , Minnesota .",0,logical_fallacy
"She is a teacher in a public school, so any claims that she makes about the public school system are biased and untrue.",1,logical_fallacy
If I make an exception for you then I'll have to make an exception for everyone,0,logical_fallacy
"If you miss practice, it means you were probably goofing off. People who goof off drop out of school and end up penniless.",0,logical_fallacy
"""In the business meeting, she proposed a new advertising plan for the dog food brand, but I found out she actually hates dogs. How can we trust her advertising skills?""",1,logical_fallacy
"Bill: ""I believe that Obamacare is wrong."" Dave: ""Of course you would say that, you're a Republican."" Bill: ""What about the arguments I gave to support my position?"" Dave: ""Those don't count. Like I said, you're a Republican, so you have to support the party line. Further, you are just a lapdog to the Republican incumbent so you can get a job , so I can't believe what you say.""",1,logical_fallacy
Don’t believe what Alex says about global warming. Alex dropped out of college!,1,logical_fallacy
Discoveries from Archimedes should be dismissed because he made them in a bathtub and not a proper university laboratory.,1,logical_fallacy
"harmful atheists favor cloning, so cloning is wrong",1,logical_fallacy
"I suffer from Cassandra syndrome , ” Ingalsbee said , referring to the Cassandra Syndrome , a Greek metaphor people use when they believe their valid warnings are not heeded .
“ Every year I warn people : Disaster ’ s coming . We got to change . And no one listens . And then it happens . ”",0,logical_fallacy
Many of these fear mongers also say we should stop burning fossil fuels that are causing this mayhem .,1,logical_fallacy
"occurs when your opponent over-simplifies or misrepresents your argument (i.e., setting up a ""straw man"") to make it easier to attack or refute",0,logical_fallacy
"I know the professor said the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.",0,logical_fallacy
Cereal yields decreasing —,0,logical_fallacy
It tells us that we are far from understanding climate change .,0,logical_fallacy
"CNN —
Following a successful international tour and the G-7 Summit in Italy , President Trump has an opportunity to relieve our nation of the unfair and economically devastating requirements of the Paris Agreement , the United Nations climate treaty he pledged to rip up during the campaign . And as soon as possible , President Trump should act on – and keep – his campaign promise .",0,logical_fallacy
I have been accused of using an ad hominem approach in trying to defend my research. But those who attack me and my research are also using ad hominem. And they started it!,1,logical_fallacy
"Congressman Darell Issa calls White House Spokesperson Jay Carney a ""paid liar.""",1,logical_fallacy
The political commercials described the mayor as a “monster” who “hated babies” but they never discussed his plans for the city.,1,logical_fallacy
Two events last week brought yet further twists to one of the longest-running farces of our modern world .,1,logical_fallacy
"You’re a vegetarian? You do realize that Hitler was a vegetarian, too?",1,logical_fallacy
"""All elephants are big. Some boys are big. Therefore some boys are elephants.""",0,logical_fallacy
"You've got to teach the boys logic! If you don't teach them logic, they won't learn how to think! And they'll become hobos and die in prison! Don't you care about your sons? (Mother to Father)",0,logical_fallacy
Why would you lend money to some who looks like they don't have a job?,1,logical_fallacy
I don't understand why you're saying I broke a promise. I said I'd never speak to my ex-girlfriend again. And I didn't. I just sent her some pictures and text messages.,0,logical_fallacy
"Speaker 1: Dr. Singh says meat eating is bad for the environment.
Speaker 2: He’s a Sikh. They don’t eat meat. Of course he would say that. He can’t be telling the truth.",1,logical_fallacy
"Peter Ward , a charismatic paleontologist among those responsible for discovering that the planet ’ s mass extinctions were caused by greenhouse gas , calls this the “ Great Filter ” : “ Civilizations rise , but there ’ s an environmental filter that causes them to die off again and disappear fairly quickly , ” he told me . “ If you look at planet Earth , the filtering we ’ ve had in the past has been in these mass extinctions. ”",0,logical_fallacy
“We shouldn’t even bother to interview that job applicant. He has a beard.”,1,logical_fallacy
Either you text your friend or you don't have any fun at all.,0,logical_fallacy
"Being mean to others is wrong.
Therefore, it cannot possibly be part of our nature.",0,logical_fallacy
But will they ?,0,logical_fallacy
"This new test seemed so promising, but the 3 studies that supported its validity turned out to have critical methodological flaws, so the test is probably not valid.",0,logical_fallacy
"ghosts must exist, because nobody has been able to prove that they don't is an example of",0,logical_fallacy
